iter	MAE	RMSE
0	35.13916296	39.74022034
1	33.83487706	38.22932861
2	32.55228925	36.73268171
3	31.32102876	35.31970866
4	30.17271965	33.97791372
5	29.08925864	32.7249348
6	28.03051582	31.52658705
7	27.06007565	30.40002011
8	26.10359022	29.31003532
9	25.19010185	28.28797702
10	24.33593263	27.31090894
11	23.51404269	26.39102934
12	22.75411701	25.54879058
13	22.01984687	24.71915622
14	21.29528944	23.92211363
15	20.64517437	23.18906557
16	20.00104537	22.48191591
17	19.40896362	21.82875577
18	18.81767379	21.19446539
19	18.23691913	20.57410553
20	17.71169425	20.01680586
21	17.23386592	19.50989822
22	16.76055884	19.00153454
23	16.29583677	18.50996063
24	15.84591487	18.03167203
25	15.41086022	17.56867234
26	14.99433861	17.13222089
27	14.59374224	16.71946939
28	14.20324273	16.31655795
29	13.87147451	15.98860052
30	13.54708945	15.6637954
31	13.21478077	15.31890859
32	12.91333836	15.02786017
33	12.60181269	14.71696583
34	12.30320065	14.40234484
35	12.02154205	14.12914247
36	11.76942774	13.87585308
37	11.5126337	13.61985335
38	11.2401631	13.35083096
39	11.00089723	13.11177727
40	10.75304771	12.86166191
41	10.5686243	12.6698436
42	10.36173256	12.46207736
43	10.12546397	12.21445469
44	9.939880683	12.03895805
45	9.744320051	11.85391427
46	9.561586374	11.67795622
47	9.371192082	11.48136725
48	9.22287768	11.34168011
49	9.069119786	11.19372287
50	8.902302562	11.03065548
51	8.747671326	10.86160789
52	8.586189927	10.7015976
53	8.438109562	10.55801003
54	8.297678324	10.42827141
55	8.157484358	10.27512398
56	8.024534363	10.14795783
57	7.88835732	10.00554393
58	7.744625007	9.858097505
59	7.625094933	9.743707972
60	7.515873059	9.632625454
61	7.413028984	9.531372584
62	7.31290047	9.435783612
63	7.21555791	9.314780996
64	7.116915382	9.217901494
65	7.028470386	9.1300409
66	6.938464846	9.02827353
67	6.847183023	8.939501259
68	6.747573845	8.821255788
69	6.649410551	8.717634853
70	6.566834305	8.62643433
71	6.489995957	8.546232361
72	6.38444825	8.402320367
73	6.302182834	8.305101373
74	6.247740287	8.246573502
75	6.190620721	8.190587522
76	6.100737697	8.073364095
77	6.045551195	8.02025209
78	5.957351103	7.902411064
79	5.902682951	7.836497291
80	5.823120911	7.736207408
81	5.750772067	7.637912397
82	5.689819842	7.568006034
83	5.627544801	7.502285622
84	5.564352885	7.421894352
85	5.516010574	7.363467845
86	5.463668655	7.303479772
87	5.405273403	7.228354947
88	5.359101151	7.171792882
89	5.310662508	7.111111374
90	5.248802683	7.026027182
91	5.195163908	6.958195465
92	5.143420817	6.889822392
93	5.086913432	6.822136151
94	5.043083076	6.762838274
95	4.989027227	6.680349857
96	4.928705843	6.60249219
97	4.891418706	6.550516651
98	4.839407849	6.485639223
99	4.803229101	6.438538361
100	4.779747983	6.407755972
101	4.735704194	6.347909351
102	4.704874324	6.307505989
103	4.671277373	6.270527679
104	4.636612482	6.224257806
105	4.605451889	6.184475715
106	4.57553444	6.143482694
107	4.540868023	6.090817045
108	4.500743123	6.03600359
109	4.475221826	6.007759539
110	4.447474647	5.970963238
111	4.418904894	5.93127496
112	4.383657425	5.880834096
113	4.356540402	5.849464623
114	4.333830348	5.819887544
115	4.30473666	5.776889162
116	4.276288303	5.731153392
117	4.240940255	5.681138144
118	4.219415796	5.650958326
119	4.196415157	5.620042226
120	4.169557263	5.585511427
121	4.145891085	5.550028886
122	4.123435347	5.522079577
123	4.100326197	5.492119345
124	4.062631478	5.439510818
125	4.036516586	5.401643572
126	4.012184014	5.369299483
127	3.999175658	5.352723663
128	3.978866835	5.326776141
129	3.961275613	5.305100057
130	3.94031261	5.275530116
131	3.920399746	5.249695557
132	3.895763758	5.21376749
133	3.871995681	5.184705155
134	3.850371416	5.150156894
135	3.829331423	5.122465637
136	3.815016252	5.104413684
137	3.792707067	5.074004342
138	3.773402732	5.046294076
139	3.752668342	5.019395871
140	3.734140102	4.993903679
141	3.710744535	4.961774255
142	3.696313371	4.938742393
143	3.678332168	4.914288975
144	3.660234768	4.885563151
145	3.641296651	4.860091347
146	3.621973379	4.835206224
147	3.601856756	4.804851295
148	3.587598702	4.785601973
149	3.574611017	4.771172011
150	3.552017523	4.740169643
151	3.534399943	4.715970787
152	3.511510736	4.687200073
153	3.493052318	4.665626457
154	3.479076531	4.644738846
155	3.453632865	4.607545837
156	3.439001443	4.59050128
157	3.415519199	4.556645857
158	3.396511953	4.529134872
159	3.377750969	4.504449524
160	3.358770925	4.47550163
161	3.339897046	4.449544974
162	3.32731084	4.432080822
163	3.311918837	4.408405506
164	3.295341338	4.388655212
165	3.281476841	4.3692751
166	3.270472334	4.353215721
167	3.257436672	4.337632529
168	3.242549911	4.315501326
169	3.226312483	4.292236682
170	3.214388785	4.275199523
171	3.193894631	4.24502205
172	3.176419234	4.219581973
173	3.163374862	4.202938109
174	3.145460164	4.181810397
175	3.138606647	4.172680202
176	3.125862871	4.155804909
177	3.115241728	4.144423783
178	3.100299853	4.123228585
179	3.090489696	4.107435715
180	3.071215266	4.078077453
181	3.055397467	4.055609772
182	3.034980665	4.02789189
183	3.018170356	4.000838255
184	3.010639794	3.992621103
185	2.997010833	3.973927241
186	2.978388631	3.945251214
187	2.96935599	3.932820381
188	2.960572685	3.920665783
189	2.950788617	3.905947444
190	2.942599927	3.895565993
191	2.929927824	3.876898301
192	2.911306938	3.850015714
193	2.897642241	3.831259539
194	2.890604002	3.819972225
195	2.874786147	3.800791981
196	2.865194299	3.791015141
197	2.852502367	3.773953368
198	2.840533606	3.757175117
199	2.831112932	3.745952424
200	2.820381023	3.733865429
201	2.807097158	3.716118389
202	2.796010482	3.698510296
203	2.782437577	3.679954206
204	2.773003829	3.667715893
205	2.758558033	3.646925925
206	2.750550807	3.635758336
207	2.735606765	3.613378667
208	2.723529074	3.596562182
