iter	Passed	Remaining
0	8	4423
1	16	4215
2	24	4073
3	31	3927
4	38	3841
5	45	3736
6	52	3713
7	59	3688
8	67	3691
9	75	3689
10	81	3638
11	88	3586
12	94	3540
13	100	3497
14	107	3472
15	114	3450
16	120	3415
17	126	3392
18	134	3393
19	140	3362
20	148	3378
21	155	3368
22	161	3352
23	167	3329
24	174	3320
25	181	3304
26	187	3289
27	194	3279
28	201	3276
29	208	3269
30	216	3269
31	223	3262
32	229	3244
33	236	3234
34	243	3235
35	249	3221
36	256	3207
37	262	3191
38	269	3185
39	276	3179
40	282	3168
41	289	3160
42	296	3150
43	302	3136
44	308	3123
45	315	3110
46	321	3100
47	328	3089
48	334	3074
49	339	3059
50	345	3042
51	351	3029
52	357	3017
53	363	3002
54	369	2988
55	375	2973
56	380	2960
57	387	2949
58	392	2935
59	398	2921
60	404	2912
61	410	2902
62	416	2892
63	423	2883
64	429	2874
65	435	2861
66	441	2852
67	447	2840
68	452	2829
69	459	2819
70	465	2809
71	471	2800
72	477	2790
73	483	2782
74	489	2772
75	495	2763
76	501	2755
77	508	2748
78	514	2739
79	520	2731
80	526	2722
81	532	2713
82	537	2702
83	544	2694
84	550	2686
85	555	2675
86	561	2666
87	567	2656
88	573	2647
89	579	2641
90	585	2633
91	591	2624
92	597	2615
93	603	2606
94	609	2598
95	615	2590
96	621	2582
97	628	2577
98	634	2569
99	640	2560
100	645	2551
101	651	2543
102	657	2534
103	663	2525
104	668	2516
105	674	2507
106	680	2498
107	686	2489
108	691	2481
109	697	2472
110	703	2463
111	708	2455
112	714	2446
113	720	2438
114	725	2429
115	731	2422
116	737	2414
117	743	2407
118	749	2399
119	755	2393
120	761	2385
121	767	2377
122	773	2370
123	779	2363
124	785	2355
125	790	2347
126	796	2338
127	802	2331
128	808	2324
129	814	2316
130	819	2309
131	825	2301
132	831	2294
133	837	2286
134	843	2280
135	849	2272
136	854	2265
137	861	2259
138	867	2251
139	872	2244
140	878	2236
141	884	2229
142	889	2221
143	895	2214
144	901	2207
145	907	2200
146	913	2192
147	919	2185
148	925	2179
149	930	2171
150	936	2164
151	941	2156
152	947	2149
153	953	2142
154	959	2135
155	965	2129
156	971	2122
157	977	2115
158	983	2109
159	989	2103
160	995	2096
161	1001	2089
162	1007	2082
163	1013	2075
164	1018	2068
165	1024	2061
166	1030	2054
167	1036	2047
168	1041	2040
169	1047	2032
170	1052	2025
171	1059	2019
172	1065	2013
173	1071	2007
174	1077	2000
175	1083	1993
176	1088	1986
177	1094	1979
178	1100	1973
179	1105	1965
180	1111	1958
181	1117	1952
182	1123	1945
183	1128	1938
184	1134	1931
185	1140	1924
186	1146	1918
187	1151	1910
188	1156	1903
189	1162	1896
190	1168	1889
191	1174	1883
192	1180	1877
193	1186	1870
194	1191	1863
195	1197	1857
196	1202	1849
197	1208	1843
198	1214	1836
199	1219	1829
200	1225	1823
201	1231	1816
202	1236	1809
203	1242	1802
204	1247	1795
205	1253	1789
206	1259	1782
207	1265	1776
208	1271	1769
209	1276	1762
210	1282	1756
211	1288	1750
212	1294	1744
213	1300	1738
214	1306	1731
215	1311	1724
216	1317	1718
217	1324	1712
218	1330	1706
219	1335	1700
220	1341	1693
221	1347	1686
222	1352	1680
223	1358	1673
224	1364	1667
225	1370	1661
226	1376	1654
227	1382	1649
228	1388	1642
229	1393	1636
230	1399	1629
231	1405	1623
232	1411	1617
233	1417	1610
234	1422	1604
235	1428	1597
236	1433	1591
237	1439	1584
238	1445	1578
239	1451	1571
240	1456	1565
241	1462	1559
242	1467	1552
243	1473	1545
244	1478	1539
245	1484	1532
246	1490	1526
247	1496	1520
248	1502	1514
249	1507	1507
250	1514	1502
251	1520	1495
252	1525	1489
253	1531	1483
254	1536	1476
255	1542	1470
256	1548	1464
257	1554	1457
258	1559	1451
259	1565	1445
260	1571	1439
261	1577	1433
262	1583	1426
263	1589	1420
264	1594	1414
265	1600	1407
266	1606	1401
267	1612	1395
268	1617	1389
269	1623	1382
270	1629	1376
